iter	Passed	Remaining
812	26654	6130
813	26702	6101
814	26735	6068
815	26765	6035
816	26796	6002
817	26824	5968
818	26860	5936
819	26891	5902
820	26920	5869
821	26954	5836
822	26987	5804
823	27021	5771
824	27053	5738
825	27080	5704
826	27107	5670
827	27130	5635
828	27160	5602
829	27192	5569
830	27213	5534
831	27234	5499
832	27266	5466
833	27297	5433
834	27322	5399
835	27349	5365
836	27374	5331
837	27402	5297
838	27430	5263
839	27461	5230
840	27489	5197
841	27516	5163
842	27544	5129
843	27565	5095
844	27608	5064
845	27641	5031
846	27689	5001
847	27722	4969
848	27758	4936
849	27819	4909
850	27857	4877
851	27890	4844
852	27922	4812
853	27949	4778
854	27977	4744
855	28008	4711
856	28038	4678
857	28063	4644
858	28091	4610
859	28126	4578
860	28160	4546
861	28193	4513
862	28227	4481
863	28248	4446
864	28272	4412
865	28301	4379
866	28332	4346
867	28357	4312
868	28384	4278
869	28409	4245
870	28439	4212
871	28467	4178
872	28491	4144
873	28515	4110
874	28551	4078
875	28583	4046
876	28614	4013
877	28656	3981
878	28685	3948
879	28715	3915
880	28749	3883
881	28779	3850
882	28837	3821
883	28878	3789
884	28916	3757
885	28950	3725
886	28983	3692
887	29025	3660
888	29068	3629
889	29103	3597
890	29133	3564
891	29174	3532
892	29210	3500
893	29236	3466
894	29270	3433
895	29302	3401
896	29332	3368
897	29364	3335
898	29394	3302
899	29427	3269
900	29463	3237
901	29489	3203
902	29524	3171
903	29556	3138
904	29591	3106
905	29623	3073
906	29659	3041
907	29688	3008
908	29713	2974
909	29740	2941
910	29778	2909
911	29806	2876
912	29843	2843
913	29870	2810
914	29894	2777
915	29927	2744
916	29970	2712
917	30003	2680
918	30035	2647
919	30066	2614
920	30091	2581
921	30122	2548
922	30153	2515
923	30191	2483
924	30234	2451
925	30273	2419
926	30299	2386
927	30327	2353
928	30354	2319
929	30387	2287
930	30422	2254
931	30458	2222
932	30497	2190
933	30524	2156
934	30549	2123
935	30573	2090
936	30604	2057
937	30633	2024
938	30657	1991
939	30694	1959
940	30726	1926
941	30762	1894
942	30813	1862
943	30869	1831
944	30906	1798
945	30951	1766
946	30984	1734
947	31017	1701
948	31049	1668
949	31076	1635
950	31117	1603
951	31149	1570
952	31179	1537
953	31211	1504
954	31243	1472
955	31281	1439
956	31315	1407
957	31352	1374
958	31383	1341
959	31420	1309
960	31445	1276
961	31473	1243
962	31494	1210
963	31523	1177
964	31548	1144
965	31575	1111
966	31601	1078
967	31626	1045
968	31652	1012
969	31675	979
970	31697	946
971	31724	913
972	31753	881
973	31775	848
974	31803	815
975	31826	782
976	31860	750
977	31883	717
978	31910	684
979	31938	651
980	31964	619
981	31986	586
982	32009	553
983	32037	520
984	32064	488
985	32093	455
986	32123	423
987	32158	390
988	32187	357
989	32220	325
990	32258	292
991	32285	260
992	32309	227
993	32345	195
994	32374	162
995	32405	130
996	32432	97
997	32461	65
998	32483	32
999	32510	0
